Task,Model,test_AUROC,CI_lo,CI_hi,AUROC_str,test_AUPRC
Anemia,QCCS-DiffAttn (Eq.3),0.7768659249171209,0.7735851260274227,0.7801467238068192,"0.777 [0.774, 0.780]",0.8695460903128642
Hyperkalemia,QCCS-DiffAttn (Eq.3),0.5,0.48698898085146963,0.5130110191485303,"0.500 [0.487, 0.513]",0.0237439529643598
Hyponatremia,QCCS-DiffAttn (Eq.3),0.6099377766793848,0.6056510181274612,0.6142245352313083,"0.610 [0.606, 0.614]",0.3620628710808214
Thrombocytopenia,QCCS-DiffAttn (Eq.3),0.7504922493263839,0.7465427364316252,0.7544417622211427,"0.750 [0.747, 0.754]",0.6374526188455754
