task,model,test_auroc,test_auprc,gate_mean,gate_std,gate_collapsed
lab_anemia,QCCS-DiffTransformer-Focal (gamma=2),0.7774946943613483,0.8702294124016536,0.21018144488334656,0.05329238995909691,False
lab_hyperkalemia,QCCS-DiffTransformer-Focal (gamma=2),0.6087244992221787,0.03766205356714391,0.16344775259494781,0.041190117597579956,False
lab_hyponatremia,QCCS-DiffTransformer-Focal (gamma=2),0.6068791246972356,0.3611886072726302,0.17994311451911926,0.05898039788007736,False
lab_thrombocytopenia,QCCS-DiffTransformer-Focal (gamma=2),0.75773905630304,0.6557460938804083,0.14738862216472626,0.05113564431667328,False
